,,,6-Jul,9-Jul,11-Jul,13-Jul,16-Jul,19-Jul,24-Jul,26-Jul,30-Jul,4-Aug
,,,,,,,,,,,,
1,,,,,,,,,,,,
,1,,flower,ovary,,,,seed,,,,
,2,,,bud,bud,flower,ovary,,,seed,,
,3,,,flower,flower,flower,ovary,,,seed,,
,4,,,flower,flower,flower,ovary,,,seed,,
,5,,,flower,ovary,,seed,,,,,
,6,,flower,flower,ovary,,seed,,,,,
,7,,flower,flower,ovary,,seed,,,,,
,8,,flower,flower,ovary,,seed,,,,,
,,1,,,,bud,bud,flower,ovary,,,seed
,9,,flower,flower,ovary,,,,seed,,,
,,1,,,bud,bud,flower,ovary,,,,seed
,10,,,flower,ovary,,,seed,,,,
,,1,,,bud,bud,flower,ovary,,,seed,
,11,,,flower,flower,ovary,,,,seed,,
,,,,,,,,,,,,
2,,,,,,,,,,,,
,1,,,,ovary,,,,seed,,,
,2,,,,ovary,,,,seed,,,
,3,,,,ovary,,,,seed,,,
,4,,,,ovary,,,,seed,,,
,5,,,,ovary,,,,seed,,,
,,1,,,,,,,,flower,ovary,seed
,6,,,,ovary,,,seed,,,,
,,1,,bud,bud,flower,flower,ovary,,,seed,
,,2,,,flower,flower,ovary,,,,seed,
,,3,,bud,bud,flower,flower,ovary,,,seed,
,7,,,,,ovary,,seed,,,,
,,1,,bud,bud,flower,ovary,,,,seed,
,,2,,,bud,bud,flower,ovary,,,seed,
,,3,,,bud,bud,flower,ovary,,,seed,
,8,,,,flower,ovary,,,,seed,,
,,1,,,,bud,bud,flower,ovary,,,seed
,,2,,,bud,bud,flower,ovary,,,seed,
,9,,,,flower,flower,ovary,,,seed,,
,,1,,,bud,bud,flower,ovary,,,seed,
,,2,,,bud,bud,flower,ovary,,,seed,
,,,,,,,,,,,,
3,,,,,,,,,,,,
,1,,,,flower,flower,ovary,,seed,,,
,2,,,,,bud,bud,flower,ovary,,,seed
,3,,,,,bud,flower,ovary,,,seed,
,4,,,,,bud,flower,ovary,,,seed,
,5,,,,,flower,flower,ovary,,,seed,
,6,,,,,flower,ovary,,,seed,,
,7,,,,flower,flower,ovary,,seed,,,
,,1,,,,,bud,flower,ovary,,,seed
,8,,,,flower,flower,ovary,,seed,,,
,9,,,,flower,flower,ovary,,seed,,,
,,1,,,,bud,bud,flower,ovary,,,seed
,10,,,,flower,flower,ovary,,seed,,,
,,1,,,,,flower,ovary,,,seed,
,,2,,,,bud,bud,flower,ovary,,,seed
,11,,,,flower,flower,ovary,,seed,,,
,,1,,,,,flower,ovary,,,,seed
,,2,,,,,flower,ovary,,,,seed
,12,,,bud,bud,flower,ovary,,seed,,,
,,1,,,,bud,bud,flower,ovary,,,seed
,,2,,,,,flower,flower,ovary,,,seed
,13,,,bud,bud,flower,flower,ovary,,,seed,
,,1,,,,,flower,ovary,,,,seed
,,2,,,,bud,bud,flower,ovary,,,seed
,14,,,,,flower,flower,ovary,,,seed,
,,1,,,,bud,bud,flower,ovary,,,seed
,,2,,,,bud,bud,flower,ovary,,,seed
,15,,,,,flower,ovary,,,seed,,
,,1,,,,bud,bud,flower,ovary,,,seed
,16,,,,,flower,flower,ovary,,seed,,
,,1,,,,bud,bud,flower,ovary,,,seed
,,2,,,,,flower,flower,ovary,,,seed
,17,,,,,flower,flower,ovary,,seed,,
,,1,,,,,bud,flower,ovary,,,seed
,,2,,,,,flower,flower,ovary,,,seed
,18,,,,,flower,flower,ovary,,seed,,
,,1,,,,,bud,bud,ovary,,,seed
,,2,,,,bud,bud,flower,ovary,,,seed
,,3,,,,,bud,flower,ovary,,,seed
,19,,,,,flower,flower,ovary,,,seed,
,,1,,,,,bud,flower,ovary,,,seed
,,2,,,,bud,bud,flower,ovary,,,seed
,,3,,,,bud,bud,flower,ovary,,,seed
,,4,,,,,bud,flower,ovary,,,seed
,20,,,,,flower,flower,ovary,,,,
,,1,,,,,bud,bud,ovary,,,seed
,,2,,,,bud,bud,flower,ovary,,,seed
,,3,,,,bud,bud,flower,ovary,,,seed
,21,,,,bud,bud,flower,flower,ovary,,seed,
,,1,,,,,bud,bud,flower,ovary,,seed
,,2,,,,,bud,flower,ovary,,,seed
,,3,,,,bud,bud,flower,ovary,,,seed
,,4,,,,bud,bud,flower,ovary,,,seed
,,5,,,,,bud,flower,ovary,,,seed
,22,,,,,bud,bud,flower,ovary,,seed,
,,1,,,,,,bud,flower,ovary,,seed
,,2,,,,,,bud,death,,,
,,,,,,,,,,,,
10,18,13,,,,,,,,,,
,,,,,,,,,,,,
11,7,7,,,,,,,,,,
,,,,,,,,,,,,
12,10,10,,,,,,,,,,
,,,,,,,,,,,,
13,17,15,,,,,,,,,,
,,,,,,,,,,,,
14,10,10,,,,,,,,,,
,,,,,,,,,,,,
15,12,12,,,,,,,,,,
,,,,,,,,,,,,
16,25,19,,,,,,,,,,
,,,,,,,,,,,,
17,9,9,,,,,,,,,,
,,,,,,,,,,,,
18,23,12,,,,,,,,,,
,,,,,,,,,,,,
19,9,8,,,,,,,,,,
,,,,,,,,,,,,
20,13,12,,,,,,,,,,
,,,,,,,,,,,,
21,13,10,,,,,,,,,,
,,,,,,,,,,,,
22,19,16,,,,,,,,,,
,,,,,,,,,,,,
23,9,9,,,,,,,,,,
,,,,,,,,,,,,
24,10,10,,,,,,,,,,
,,,,,,,,,,,,
25,20,17,,,,,,,,,,
,,,,,,,,,,,,
26,7,7,,,,,,,,,,
,,,,,,,,,,,,
27,13,13,,,,,,,,,,
,,,,,,,,,,,,
28,13,13,,,,,,,,,,
,,,,,,,,,,,,
29,18,15,,,,,,,,,,
,,,,,,,,,,,,
30,13,13,,,,,,,,,,
,,,,,,,,,,,,
31,6,6,,,,,,,,,,
,,,,,,,,,,,,
32,12,8,,,,,,,,,,
,,,,,,,,,,,,
33,16,15,,,,,,,,,,
,,,,,,,,,,,,
34,14,14,,,,,,,,,,
,,,,,,,,,,,,
35,10,10,,,,,,,,,,
,,,,,,,,,,,,
36,10,10,,,,,,,,,,
,,,,,,,,,,,,
37,11,11,,,,,,,,,,
,,,,,,,,,,,,
38,22,18,,,,,,,,,,
,,,,,,,,,,,,
39,6,6,,,,,,,,,,
