,,,6-Jul,9-Jul,11-Jul,13-Jul,16-Jul,19-Jul,24-Jul,26-Jul,30-Jul
1,1,,flower,ovary,,,,,,,
,2,,,bud,bud,flower,ovary,,,,
,3,,,flower,flower,flower,ovary,,,,
,4,,,flower,flower,flower,ovary,,,,
,5,,,flower,ovary,,,,,,
,6,,flower,flower,ovary,,,,,,
,7,,flower,flower,ovary,,,,,,
,8,,flower,flower,ovary,,,,,,
,,1,,,,bud,bud,flower,ovary,,
,9,,flower,flower,ovary,,,,,,
,,1,,,bud,bud,flower,ovary,,,
,10,,,flower,ovary,,,,,,
,,1,,,bud,bud,flower,ovary,,,
,11,,,flower,flower,ovary,,,,,
2,1,,,,ovary,,,,,,
,2,,,,ovary,,,,,,
,3,,,,ovary,,,,,,
,4,,,,ovary,,,,,,
,5,,,,ovary,,,,,,
,,1,,,,,,,,flower,ovary
,6,,,,ovary,,,,,,
,,1,,bud,bud,flower,flower,ovary,,,
,,2,,,flower,flower,ovary,,,,
,,3,,bud,bud,flower,flower,ovary,,,
,7,,,,,ovary,,,,,
,,1,,bud,bud,flower,ovary,,,,
,,2,,,bud,bud,flower,ovary,,,
,,3,,,bud,bud,flower,ovary,,,
,8,,,,flower,ovary,,,,,
,,1,,,,bud,bud,flower,ovary,,
,,2,,,bud,bud,flower,ovary,,,
,9,,,,flower,flower,ovary,,,,
,,1,,,bud,bud,flower,ovary,,,
,,2,,,bud,bud,flower,ovary,,,
3,1,,,,flower,flower,ovary,,,,
,2,,,,,bud,bud,flower,ovary,,
,3,,,,,bud,flower,ovary,,,
,4,,,,,bud,flower,ovary,,,
,5,,,,,flower,flower,ovary,,,
,6,,,,,flower,ovary,,,,
,7,,,,flower,flower,ovary,,,,
,,1,,,,,bud,flower,ovary,,
,8,,,,flower,flower,ovary,,,,
,9,,,,flower,flower,ovary,,,,
,,1,,,,bud,bud,flower,ovary,,
,10,,,,flower,flower,ovary,,,,
,,1,,,,,flower,ovary,,,
,,2,,,,bud,bud,flower,ovary,,
,11,,,,flower,flower,ovary,,,,
,,1,,,,,flower,ovary,,,
,,2,,,,,flower,ovary,,,
,12,,,bud,bud,flower,ovary,,,,
,,1,,,,bud,bud,flower,ovary,,
,,2,,,,,flower,flower,ovary,,
,13,,,bud,bud,flower,flower,ovary,,,
,,1,,,,,flower,ovary,,,
,,2,,,,bud,bud,flower,ovary,,
,14,,,,,flower,flower,ovary,,,
,,1,,,,bud,bud,flower,ovary,,
,,2,,,,bud,bud,flower,ovary,,
,15,,,,,flower,ovary,,,,
,,1,,,,bud,bud,flower,ovary,,
,16,,,,,flower,flower,ovary,,,
,,1,,,,bud,bud,flower,ovary,,
,,2,,,,,flower,flower,ovary,,
,17,,,,,flower,flower,ovary,,,
,,1,,,,,bud,flower,ovary,,
,,2,,,,,flower,flower,ovary,,
,18,,,,,flower,flower,ovary,,,
,,1,,,,,bud,bud,ovary,,
,,2,,,,bud,bud,flower,ovary,,
,,3,,,,,bud,flower,ovary,,
,19,,,,,flower,flower,ovary,,,
,,1,,,,,bud,flower,ovary,,
,,2,,,,bud,bud,flower,ovary,,
,,3,,,,bud,bud,flower,ovary,,
,,4,,,,,bud,flower,ovary,,
,20,,,,,flower,flower,ovary,,,
,,1,,,,,bud,bud,ovary,,
,,2,,,,bud,bud,flower,ovary,,
,,3,,,,bud,bud,flower,ovary,,
,21,,,,bud,bud,flower,flower,ovary,,
,,1,,,,,bud,bud,flower,ovary,
,,2,,,,,bud,flower,ovary,,
,,3,,,,bud,bud,flower,ovary,,
,,4,,,,bud,bud,flower,ovary,,
,,5,,,,,bud,flower,ovary,,
,22,,,,,bud,bud,flower,ovary,,
,,1,,,,,,bud,flower,ovary,
,,2,,,,,,bud,death,,
